Number;Text;Flag
500000;Reputation aversion triggered.;Original
500001;Nereaguji na tebe.;Modified
500002;Jdu domů.;Modified
500003;Hledám.;Modified
500004;Idle, wandering.;Original
500005;Bugging out of combat due to flags.;Original
500006;Už můžeš mluvit.;Modified
500007;Už se můžeš hýbat.;Modified
500008;Už nejsi nadále nezranitelný.;Modified
500009;Swinging;Original
500010;Žádné Skripty;Modified
500011;Žádné Proměné;Modified
500012;Nemůžeš používat dovednosti dokuď si mrtvý;Modified
500013;Nemůžeš používat dovednosti.;Modified
500014;Tato dovednost nemůže být použita přímo.;Modified
500015;Tohle kouzlo nemáš !;Modified
500016;Tohle kouzlo nemáš !;Modified
500017;Banka je nyní ZAPNUTA !;Modified
500018;Banka je nyní VYPNUTA;Modified
500019;Špatný parametr. Banka je nyní ZAPNUTA;Modified
500020;Špatný parametr. Banka je nyní VYPNUTA;Modified
500021;Užití ( syntaxe ) : .addres bank|world resourcetype (množství);Modified
500022;You are not in a resource region.;Original
500023;Špatná barva.;Modified
500024;Otevírám dveře...;Modified
500025;Mem report written;Original
500026;Nelze otevřít soubor pro přidání.;Modified
500027;Debugging paměti není zapnutý;Modified
500028;Nelze otevřít reslist.txt pro zápis na server.;Modified
500029;Zpsáno reslist.txt na serveru;Modified
500030;Pravdaaaaaa.;Modified
500031;Nepane.;Modified
500032;Není žádný takový objekt.;Modified
500033;Cíl nenalezen.;Modified
500034;Cíl nenalezen.;Modified
500035;Cíl nenalezen.;Modified
500036;Cíl nenalezen.;Modified
500037;Užití ( syntaxe ): become template_number (číslo);Modified
500038;Úspěch !;Modified
500039;Selhání !;Modified
500040;Game master mód zapnut;Modified
500041;Game master mód vypnut;Modified
500042;Užití ( syntaxe ): gm [on|off];Modified
500043;Cíl nenalezen.;Modified
500044;Cíl nenalezen.;Modified
500045;Cíl nenalezen.;Modified
500046;Cíl nenalezen.;Modified
500047;Cíl nenalezen.;Modified
500048;Cíl nenalezen.;Modified
500049;Cíl nenalezen.;Modified
500050;Cíl nenalezen.;Modified
500051;Cíl nenalezen.;Modified
500052;Cíl nenalezen.;Modified
500053;Cíl nenalezen.;Modified
500054;Cíl nenalezen.;Modified
500055;Cíl nenalezen.;Modified
500056;Boj započal;Modified
500057;Cíl nenalezen.;Modified
500058;Teleport storm started.;Original
500059;Objekt nenalezen;Modified
500060;Objekt nenalezen;Modified
500061;Objekt nenalezen;Modified
500062;Užití ( syntaxe ): getplayers num x y z;Modified
500063;Hráč nenalezen;Modified
500064;Hráč nenalezen;Modified
500065;Objekt nenalezen;Modified
500066;Užití ( syntaxe ): multi_repos id x y z;Modified
500067;Hotovo !;Modified
500068;Invalid multi template id;Original
500069;Užití ( syntaxe ): multi_nosend id value;Modified
500070;Hotovo !;Modified
500071;Invalid multi template id;Original
500072;Užití ( syntaxe ): decay_test value;Modified
500073;Decay test ZAPNUT!;Modified
500074;Decay test VYPNUT!;Modified
500075;Starting atrophy.;Original
500076;Neplatná lokace pro přenos;Modified
500077;Neplatná lokace pro přenos;Modified
500078;Uvězněný hráč;Modified
500079;You have no current player set, sorry;Original
500080;Victim has no unjail location set, use release.;Original
500081;Propuštený hráč;Modified
500082;You have no current player set, sorry;Original
500083;Neplatná propouštěcí lokace;Modified
500084;Sorry, that would transfer a non-Gold player to a Gold area.;Original
500085;Propouštění hráče;Modified
500086;You have no current player set, sorry;Original
500087;Požadavek na pomoc od GM vložen.;Modified
500088;Unknown counselor command;Original
500089;V současnosti žádný požadavek o pomoc.;Modified
500090;Přejít k tomuto hráči;Modified
500091;Aktuální požadavek o pomoc je neplatný;Modified
500092;Odstraněni předchozí hráči z fronty.;Modified
500093;There are no pending queue entries;Original
500094;Přejít k dalšímu hráči;Modified
500095;Transfered request to GM queue;Original
500096;You have no current player set, sorry;Original
500097;Player request relinquished;Original
500098;That queue entry does not exist;Original
500099;Player request relinquished;Original
500100;Neplatná lokace;Modified
500101;Player request relinquished;Original
500102;You have no current player set, sorry;Original
500103;Hráčův požadavek odstraněn z fronty;Modified
500104;You have no current player set, sorry;Original
500105;Neplatný požadavek, hráčův požadavek byl odstraněn z fronty.;Modified
500106;V současnosti nevyřizuješ požadavek o pomoc.;Modified
500107;Není žádný takový hráč.;Modified
500108;Tvůj pomocník nemůže jít , je příliš vyčerpaný;Modified
500109;Jsi příliš vyčerpaný a nemůžeš jít, protože neseš příliš mnoho těžkých věcí!;Modified
500110;Jsi příliš vyčerpaný a nemůžeš jít.;Modified
500111;Jsi paralyzovaný a nemůžeš se hýbat.;Modified
500112;Nyní jsi pod ochranou městských stráží.;Modified
500113;Opustil jsi ochranu městských stráží.;Modified
500114;Nyní jsi pod ochranou městských stráží.  Zavolej 'guards' pokud si budeš myslet, že jsi v nebezpečí!;Modified
500115;Buď opatrný! Opustil jsi ochranu městských stráží a máš teď podstatně menší ochranu před útoky!  Měl by ses vrátit do města pokud se ještě necítíš připraven!;Modified
500116;Tvůj duch se opět spojil s tvým tělem.;Modified
500117;S velkým úsilím se tvoje duše opět spojila s tvým tělem.;Modified
500118;Musíš chvilku počkat, než budeš moci znova použít dovednost.;Modified
500119;Musíš počkat než uděláš něco dalšího.;Modified
500120;Tvůj zločin je považován za sebeobranu.;Modified
500121;Notoriety wanted to drop, but oneWay prevented it.;Original
500122;Notoriety wanted to raise, but oneWay prevented it.;Original
500123;Skupina založena a přidán člen;Modified
500124;Skupina založena;Modified
500125;Opustil jsem skupinu , a určil nového vůdce.;Modified
500126;Skupina se rozešla!;Modified
500127;Připojil jsem se k skupině!;Modified
500128;Opustil jsem skupinu.;Modified
500129;Útok na pomocníka!;Modified
500130;Nemáš dost zlata ,aby si vykoupil své zločiny.  Za to zemřeš!;Modified
500131;Budeš litovat svého činu, lotře!;Modified
500132;Jsem vyčerpaný!;Modified
500133;Tvůj pomocník je velmi vyčerpaný.;Modified
500134;Skončil jsi meditování.;Modified
500135;Regenerační síly nemohou proniknout tvým brněním.;Modified
500136;Znovu připojuji;Modified
500137;Calling IsMoveable.....;Original
500138;mulitcomp, No Go;Original
500139;Upravuji, v pořádku.;Modified
500140;No Draw, No Go;Original
500141;Corpse, No GO;Original
500142;Příliš těžké nebo co, nejdu;Modified
500143;kontrola váhy ... V pořádku;Modified
500144;Tile Manager approved, OK;Original
500145;Fell off bottom of IsMoveable, No GO;Original
500146;No Duplicate Id's found.;Original
500147;Compression not yet implemented.;Original
500148;Formát: set <target> <variable> <value>;Modified
500149;vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, hue, notoriety, fame, karma, name, body, skill, location, naturalac, naturalwc, tithingpoints;Modified
500150;Formát: set <target> <variable> <value>;Modified
500151;vars: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue, hue, notoriety, fame, karma, name, body, skill, location, naturalac, naturalwc, tithingpoints;Modified
500152;Cíl nenalezen.;Modified
500153;Neplatná lokace;Modified
500154;Užití ( syntaxe ): set target location [w#] x y [z];Modified
500155;Formát: set <target> skill <value>;Modified
500156;Neplatná dovednost;Modified
500157;Formát: set <target> skillmod <value>;Modified
500158;Neplatná dovednost;Modified
500159;Formát: query <target> <variable>;Modified
500160;Proměnné: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue;Modified
500161;Cíl nenalezen.;Modified
500162;Formát: add <target> <variable> <value>;Modified
500163;proměnné: strength, dexterity, intelligence, maxhp, curhp, maxmana, curmana, maxfatigue, curfatigue;Modified
500164;Cíl nenalezen.;Modified
500165;Proměnná nebyla nalezena.;Modified
500166;I'm not telling you how much this has in it..;Original
500167;Teď jsi kriminálník !;Modified
500168;Nemůžeš nic říct, byl jsi umlčen.;Modified
500169;Nemůžeš to zvednout.;Modified
500170;Nemůžeš to zvednout.;Modified
500171;Jsi tak unavený, že sotva hýbneš palcem, natož něčím jiným.;Modified
500172;Nepodařilo se to ukrást!;Modified
500173;Někdo se tě pokusil okrást!;Modified
500174;Úspěšně jsi ukradl co jsi chtěl!;Modified
500175;Tento předmět potřebuje zdroje.;Modified
500176;Tohle není tvoje, nemůžeš do toho nic ukládat.;Modified
500177;Přístup do banky ti není umožněn.;Modified
500178;Přístup do banky ti není umožněn.;Modified
500179;Tohle kouzlo je již v knize kouzel.;Modified
500180;Tvoje Božské síly ti umožňují přeplnit kontejner.;Modified
500181;Tvoje Božské síly ti umožňují přeplnit kontejner.;Modified
500182;Nemůžeš požádat o pomoc, když stavíš dům nebo převádíš postavu.;Modified
